context_tokens,mean_abs_relative_error_pct,rmse_relative_error_pct,max_abs_relative_error_pct,mean_relative_error_pct,passes_reproduction_guardrail,best_mean_abs_error,best_rmse,best_max_error,default_context,guardrail_window_min,guardrail_window_max,interpretation
902,8.317987,9.775635,16.452137,-0.016957,0,0,0,0,0,977,1040,outside_guardrail
903,8.318266,9.774470,16.432311,-0.023752,0,0,0,0,0,977,1040,outside_guardrail
904,8.318545,9.773315,16.412491,-0.030546,0,0,0,0,0,977,1040,outside_guardrail
905,8.318823,9.772170,16.392678,-0.037337,0,0,0,0,0,977,1040,outside_guardrail
906,8.319101,9.771033,16.372871,-0.044127,0,0,0,0,0,977,1040,outside_guardrail
907,8.319379,9.769906,16.353071,-0.050915,0,0,0,0,0,977,1040,outside_guardrail
908,8.319657,9.768789,16.333279,-0.057701,0,0,0,0,0,977,1040,outside_guardrail
909,8.319935,9.767681,16.313492,-0.064486,0,0,0,0,0,977,1040,outside_guardrail
910,8.320212,9.766582,16.293713,-0.071268,0,0,0,0,0,977,1040,outside_guardrail
911,8.320490,9.765493,16.273940,-0.078049,0,0,0,0,0,977,1040,outside_guardrail
912,8.320767,9.764413,16.254174,-0.084828,0,0,0,0,0,977,1040,outside_guardrail
913,8.321043,9.763342,16.234415,-0.091605,0,0,0,0,0,977,1040,outside_guardrail
914,8.321320,9.762281,16.214662,-0.098381,0,0,0,0,0,977,1040,outside_guardrail
915,8.321596,9.761229,16.194916,-0.105154,0,0,0,0,0,977,1040,outside_guardrail
916,8.321872,9.760186,16.175177,-0.111926,0,0,0,0,0,977,1040,outside_guardrail
917,8.322148,9.759153,16.155445,-0.118696,0,0,0,0,0,977,1040,outside_guardrail
918,8.322424,9.758129,16.135719,-0.125464,0,0,0,0,0,977,1040,outside_guardrail
919,8.322700,9.757114,16.116000,-0.132231,0,0,0,0,0,977,1040,outside_guardrail
920,8.322975,9.756108,16.096288,-0.138996,0,0,0,0,0,977,1040,outside_guardrail
921,8.323250,9.755112,16.076582,-0.145759,0,0,0,0,0,977,1040,outside_guardrail
922,8.323525,9.754125,16.056883,-0.152520,0,0,0,0,0,977,1040,outside_guardrail
923,8.323800,9.753148,16.037191,-0.159279,0,0,0,0,0,977,1040,outside_guardrail
924,8.324074,9.752179,16.017505,-0.166037,0,0,0,0,0,977,1040,outside_guardrail
